Level,Grouping,Metric,Comparison,Model1 F,Model1 p,Model2 F,Model2 p,Model3 F,Model3 p,Model4 F,Model4 p
species,females_,chao1,CASE_CONTROL,10.58206935,0.001323346,7.478599385,0.006913683,4.130750478,0.043840253,5.791029331,0.017233444
species,females_,chao1,Crohn_case_control,4.081632181,0.046324596,3.162360125,0.079251053,1.159026321,0.285772988,1.792228085,0.184986586
species,females_,chao1,UC_case_control,6.417097048,0.013308552,4.834284889,0.032751869,1.572028274,0.218722473,2.822004102,0.100775461
species,females_,chao1,Both_case_control,0.92103161,0.342221725,0.683181413,0.413653323,1.329770973,0.260689765,0.295162212,0.591230716
species,females_,faith_pd,CASE_CONTROL,10.13821239,0.00166458,7.182982317,0.008092734,4.800688975,0.029960972,5.9253043,0.016011284
species,females_,faith_pd,Crohn_case_control,2.329000896,0.130490062,3.031287733,0.085616147,0.661872536,0.418963863,0.896886849,0.346875724
species,females_,faith_pd,UC_case_control,10.15669151,0.002068919,3.988343815,0.051502532,2.282483586,0.140359548,4.12193591,0.049016828
species,females_,faith_pd,Both_case_control,0.530126773,0.470243831,0.744575063,0.393612699,0.50676824,0.483700057,0.326455671,0.572311837
species,females_,observed_otus,CASE_CONTROL,9.866545171,0.001916583,6.890556617,0.009464552,3.654570931,0.05778489,5.405452619,0.021314567
species,females_,observed_otus,Crohn_case_control,4.454045562,0.037592827,3.898851786,0.051858464,1.76298319,0.189043834,2.422065396,0.124147049
species,females_,observed_otus,UC_case_control,5.408894596,0.022634104,3.556029632,0.065388878,2.373446167,0.132949793,3.162086922,0.082968967
species,females_,observed_otus,Both_case_control,0.707489911,0.4046297,0.379335264,0.541631072,0.254031198,0.619044779,0.074224686,0.787281234
species,females_,shannon,CASE_CONTROL,17.47568171,4.21E-05,12.11367718,0.000637791,8.29731259,0.004540584,11.94283248,0.000700538
species,females_,shannon,Crohn_case_control,8.119691791,0.005427169,7.986823764,0.00598219,6.629192185,0.012393481,7.596549499,0.007450341
species,females_,shannon,UC_case_control,6.470029148,0.012947933,1.633570408,0.207356212,1.521161971,0.226156971,1.60904658,0.211958786
species,females_,shannon,Both_case_control,3.265092534,0.077312198,2.862360654,0.098860436,0.896313954,0.353613334,1.210539025,0.280594964
species,females_,simpson,CASE_CONTROL,14.05624495,0.000227318,9.194914014,0.002811975,6.115267009,0.014495947,9.434418791,0.002498355
species,females_,simpson,Crohn_case_control,9.049155541,0.003407716,8.006731691,0.005922927,6.901966566,0.010798989,8.672803039,0.004381491
species,females_,simpson,UC_case_control,2.987526221,0.087865064,0.241108478,0.625644267,0.336487011,0.565804042,0.332420071,0.567468082
species,females_,simpson,Both_case_control,2.638628206,0.111127046,2.5297137,0.120006708,0.626009853,0.43690638,0.894543184,0.352340217
species,females_,simpson_e,CASE_CONTROL,2.164834849,0.142641817,1.902729824,0.169606469,1.970590167,0.162411698,3.156884483,0.077484061
species,females_,simpson_e,Crohn_case_control,1.347911276,0.248713737,1.079981179,0.301912521,1.1563744,0.28631986,1.605411516,0.209337353
species,females_,simpson_e,UC_case_control,0.000105693,0.991823579,0.215300442,0.644741857,0.008399338,0.927531878,0.042182616,0.838313732
species,females_,simpson_e,Both_case_control,2.323400017,0.134287443,3.630262467,0.064325395,1.085708457,0.308253431,2.327929126,0.138288337
asv,females_,chao1,CASE_CONTROL,7.387559091,0.007095849,7.196750772,0.008033453,4.390259835,0.037791928,6.133217751,0.014293935
asv,females_,chao1,Crohn_case_control,4.407495168,0.038580859,4.215408626,0.043410911,2.326656349,0.132179616,2.938063209,0.090939479
asv,females_,chao1,UC_case_control,1.901138735,0.171892322,1.90107189,0.174350288,1.075031592,0.30734989,1.616612085,0.210908489
asv,females_,chao1,Both_case_control,1.104403216,0.29879152,1.035706439,0.315258175,0.853659683,0.365111518,0.622552385,0.436730774
asv,females_,faith_pd,CASE_CONTROL,5.37295064,0.021378489,4.859490379,0.028853503,3.462066077,0.064711061,4.408331395,0.037313507
asv,females_,faith_pd,Crohn_case_control,1.588742088,0.210764092,1.874309789,0.174911833,0.044959361,0.832763282,0.224237469,0.637303507
asv,females_,faith_pd,UC_case_control,3.507278378,0.064846744,1.938410744,0.170258208,1.546508553,0.222413831,2.66059338,0.11071223
asv,females_,faith_pd,Both_case_control,0.592435367,0.445413618,1.014246782,0.32025771,0.626458429,0.436744326,0.753260228,0.392823945
asv,females_,observed_otus,CASE_CONTROL,9.411195989,0.002429846,8.521161846,0.003991889,4.851274359,0.029121617,7.124521886,0.008377723
asv,females_,observed_otus,Crohn_case_control,7.004421372,0.009597673,6.23521382,0.014630325,3.049586583,0.085632013,4.257009211,0.042799141
asv,females_,observed_otus,UC_case_control,2.341362569,0.130025026,1.985201866,0.165288998,1.34994514,0.253622426,2.08163326,0.156866224
asv,females_,observed_otus,Both_case_control,0.734537017,0.395859652,0.710899983,0.404421359,0.422703498,0.522032847,0.268021489,0.608728557
asv,females_,shannon,CASE_CONTROL,16.47046409,6.89E-05,12.55183427,0.000512589,9.729761207,0.002167145,13.23302413,0.000369321
asv,females_,shannon,Crohn_case_control,8.466351893,0.00455796,8.178062917,0.005437534,6.716394432,0.011858329,7.065122455,0.009731646
asv,females_,shannon,UC_case_control,5.103185299,0.026674287,1.749050464,0.192263141,2.302177318,0.138715231,3.483121829,0.069341323
asv,females_,shannon,Both_case_control,3.028352539,0.088507916,2.869584889,0.098450766,1.138677837,0.297005145,1.338212461,0.257123828
asv,females_,simpson,CASE_CONTROL,8.977820257,0.003049202,6.29130765,0.013081381,5.27611086,0.022976221,7.433499747,0.007107163
asv,females_,simpson,Crohn_case_control,6.677240176,0.011375587,6.214920231,0.014786141,6.217279078,0.015289533,6.211952834,0.015058955
asv,females_,simpson,UC_case_control,1.689506768,0.197494228,0.038205543,0.845856065,0.231818333,0.63335636,0.688466381,0.411611171
asv,females_,simpson,Both_case_control,1.414286467,0.240448774,1.610584861,0.212128032,0.48210873,0.494423166,0.583329302,0.451398495
asv,females_,simpson_e,CASE_CONTROL,2.22156904,0.137540144,1.580652126,0.210411773,2.881781758,0.091619928,3.114318399,0.079491371
asv,females_,simpson_e,Crohn_case_control,0.288685461,0.592390109,0.309145238,0.579796675,0.670229455,0.416057652,0.382457106,0.538298337
asv,females_,simpson_e,UC_case_control,0.548239598,0.461260945,0.004266268,0.94819315,0.678392482,0.416053918,0.465569127,0.498965182
asv,females_,simpson_e,Both_case_control,2.125453777,0.151663826,3.403497156,0.072863194,2.037532944,0.166895356,2.388046044,0.133495082
family,females_reduced_,chao1,CASE_CONTROL,0.62394597,0.431491851,2.334171514,0.131340943,5.170249038,0.027217065,2.063020868,0.156473958
family,females_reduced_,chao1,Crohn_case_control,0.749799115,0.392274196,3.086797958,0.091682623,1.542486811,0.245636925,1.119443752,0.307953293
family,females_reduced_,chao1,UC_case_control,0.081298524,0.77682522,0.324211481,0.573063205,0.642246246,0.433350979,0.2358129,0.631840691
family,females_reduced_,chao1,Both_case_control,0.008386448,0.928544678,1.67E-29,1,NA,NA,NA,NA
family,females_reduced_,faith_pd,CASE_CONTROL,8.44E-05,0.992686877,0.193403966,0.661535239,1.51081243,0.224656241,0.188091972,0.666175631
family,females_reduced_,faith_pd,Crohn_case_control,0.005655361,0.94047024,1.344566497,0.257636853,0.765327259,0.404407497,0.487499854,0.496479138
family,females_reduced_,faith_pd,UC_case_control,0.093311702,0.761386561,0.026688922,0.871256541,0.078532562,0.782491226,0.068138765,0.796389372
family,females_reduced_,faith_pd,Both_case_control,0.20052424,0.662274941,0.269614022,0.622180164,NA,NA,NA,NA
family,females_reduced_,observed_otus,CASE_CONTROL,0.127930656,0.7213565,0.006649204,0.935257188,0.863295676,0.357195058,0.005217718,0.942673244
family,females_reduced_,observed_otus,Crohn_case_control,0.083271651,0.774566868,0.88754717,0.355530097,0.705343297,0.422742362,0.247698471,0.626426163
family,females_reduced_,observed_otus,UC_case_control,0.352340426,0.55569898,0.114467409,0.737324116,0.052974699,0.820561073,0.070197725,0.793409149
family,females_reduced_,observed_otus,Both_case_control,0.149171271,0.70608923,0.72972973,0.425757176,NA,NA,NA,NA
family,females_reduced_,shannon,CASE_CONTROL,6.168075455,0.014705098,2.398485508,0.126234914,0.868286558,0.355820474,2.080450644,0.154766062
family,females_reduced_,shannon,Crohn_case_control,0.313684878,0.578896552,0.001040587,0.974532976,0.422810274,0.531783635,0.146569554,0.707585252
family,females_reduced_,shannon,UC_case_control,2.053776079,0.158591146,0.601491538,0.443703638,0.921609282,0.349771828,1.055497818,0.314928411
family,females_reduced_,shannon,Both_case_control,11.37784926,0.005538299,12.93316027,0.011417531,NA,NA,NA,NA
