"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,26.8921983665696,26.8921983665696,0,0.00451445890020716,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,27.1468524456004,27.1468524456004,0,0.00455720830127449,1
"md$A_SLE_LIGHT_EXP:md$NUT_VEG_DAY_QTY:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,15.5645764531673,15.5645764531673,0,0.00261286339402825,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_FFM",1,26.8216339521196,26.8216339521196,0,0.00450261307992465,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT:md$PM_BIOIMPED_FFM",1,37.9804709618638,37.9804709618638,0,0.00637587425284627,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT:md$PM_BIOIMPED_FFM",1,50.1292881268892,50.1292881268892,0,0.00841532580790463,1
"md$CASE_CONTROL:md$PM_WAIST_AVG:md$PM_BIOIMPED_FFM",1,41.4235496631791,41.4235496631791,0,0.00695387226830748,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG:md$PM_BIOIMPED_FFM",1,32.5482106454174,32.5482106454174,0,0.005463947470233,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG:md$PM_BIOIMPED_FFM",1,53.9608603270417,53.9608603270417,0,0.00905854117412281,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO:md$PM_BIOIMPED_FFM",1,36.3955755178176,36.3955755178176,0,0.00610981399084231,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO:md$PM_BIOIMPED_FFM",1,33.9625670659643,33.9625670659643,0,0.00570137893060556,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO:md$PM_BIOIMPED_FFM",1,39.3420689252953,39.3420689252953,0,0.00660444902240317,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO:md$PM_BIOIMPED_FFM",1,28.0335142174254,28.0335142174254,0,0.00470605437450086,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG:md$PM_BIOIMPED_FFM",1,18.0565292053161,18.0565292053161,0,0.00303119357765574,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG:md$PM_BIOIMPED_FFM",1,31.5216663920355,31.5216663920355,0,0.00529161898380857,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG:md$PM_BIOIMPED_FFM",1,27.7600173887913,27.7600173887913,0,0.00466014179512095,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG:md$PM_BIOIMPED_FFM",1,32.5149605899533,32.5149605899533,0,0.00545836570236202,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG:md$PM_BIOIMPED_FFM",1,31.1270777150385,31.1270777150385,0,0.00522537842063451,1
"md$CASE_CONTROL:md$A_SLE_LIGHT_EXP:md$PM_BIOIMPED_FFM",1,67.4591401607149,67.4591401607149,0,0.0113245303172181,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP:md$PM_BIOIMPED_FFM",1,47.7301382892683,47.7301382892683,0,0.0080125746757829,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP:md$PM_BIOIMPED_FFM",1,26.9505173333691,26.9505173333691,0,0.00452424904733943,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP:md$PM_BIOIMPED_FFM",1,46.0717703583769,46.0717703583769,0,0.00773418040829386,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP:md$PM_BIOIMPED_FFM",1,31.9801953547676,31.9801953547676,0,0.00536859335862882,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP:md$PM_BIOIMPED_FFM",1,29.3977920723237,29.3977920723237,0,0.00493507902397161,1
"md$CASE_CONTROL:md$NUT_VEG_DAY_QTY:md$PM_BIOIMPED_FFM",1,34.2233183736889,34.2233183736889,0,0.00574515188831813,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY:md$PM_BIOIMPED_FFM",1,45.9245013491054,45.9245013491054,0,0.00770945800068078,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY:md$PM_BIOIMPED_FFM",1,45.5844434900828,45.5844434900828,0,0.0076523716588606,1
"Residuals",0,2.67325206906552e-13,Inf,NA,4.48765341947367e-17,NA
"Total",173,5956.90401906983,NA,NA,1,NA
